iu_ac,t_1h,k
1727,2022-09-14T12:00:00+00:00,19.43167
6670,2022-09-14T12:00:00+00:00,
1727,2022-09-14T11:00:00+00:00,21.42833
6670,2022-09-14T11:00:00+00:00,
6670,2022-09-14T10:00:00+00:00,
1727,2022-09-14T10:00:00+00:00,11.965
1727,2022-09-14T09:00:00+00:00,9.58778
6670,2022-09-14T09:00:00+00:00,
1727,2022-09-14T08:00:00+00:00,6.88778
6670,2022-09-14T08:00:00+00:00,
1727,2022-09-14T07:00:00+00:00,15.86223
6670,2022-09-14T07:00:00+00:00,
1727,2022-09-14T06:00:00+00:00,18.36444
6670,2022-09-14T06:00:00+00:00,
1727,2022-09-14T05:00:00+00:00,13.905
6670,2022-09-14T05:00:00+00:00,
1727,2022-09-14T04:00:00+00:00,5.50945
6670,2022-09-14T04:00:00+00:00,
6670,2022-09-14T03:00:00+00:00,
1727,2022-09-14T03:00:00+00:00,0.10889
1727,2022-09-14T02:00:00+00:00,0.03722
6670,2022-09-14T02:00:00+00:00,
1727,2022-09-14T01:00:00+00:00,1.76333
6670,2022-09-14T01:00:00+00:00,
1727,2022-09-14T00:00:00+00:00,4.10889
6670,2022-09-14T00:00:00+00:00,
1727,2022-09-13T23:00:00+00:00,0.39444
6670,2022-09-13T23:00:00+00:00,
1727,2022-09-13T22:00:00+00:00,1.08333
6670,2022-09-13T22:00:00+00:00,
1727,2022-09-13T21:00:00+00:00,1.52667
6670,2022-09-13T21:00:00+00:00,
1727,2022-09-13T20:00:00+00:00,6.16833
6670,2022-09-13T20:00:00+00:00,
6670,2022-09-13T19:00:00+00:00,
1727,2022-09-13T19:00:00+00:00,9.01833
6670,2022-09-13T18:00:00+00:00,
1727,2022-09-13T18:00:00+00:00,33.33167
6670,2022-09-13T17:00:00+00:00,
1727,2022-09-13T17:00:00+00:00,39.77722
6670,2022-09-13T16:00:00+00:00,
1727,2022-09-13T16:00:00+00:00,37.31667
1727,2022-09-13T15:00:00+00:00,16.42444
6670,2022-09-13T15:00:00+00:00,
1727,2022-09-13T14:00:00+00:00,14.43
6670,2022-09-13T14:00:00+00:00,
1727,2022-09-13T13:00:00+00:00,8.04834
6670,2022-09-13T13:00:00+00:00,
6670,2022-09-13T12:00:00+00:00,
1727,2022-09-13T12:00:00+00:00,20.065
1727,2022-09-13T11:00:00+00:00,14.95833
6670,2022-09-13T11:00:00+00:00,
1727,2022-09-13T10:00:00+00:00,15.59945
6670,2022-09-13T10:00:00+00:00,
1727,2022-09-13T09:00:00+00:00,7.28556
6670,2022-09-13T09:00:00+00:00,
1727,2022-09-13T08:00:00+00:00,3.91389
6670,2022-09-13T08:00:00+00:00,
6670,2022-09-13T07:00:00+00:00,
1727,2022-09-13T07:00:00+00:00,9.04
6670,2022-09-13T06:00:00+00:00,
1727,2022-09-13T06:00:00+00:00,9.49222
1727,2022-09-13T05:00:00+00:00,11.38722
6670,2022-09-13T05:00:00+00:00,
1727,2022-09-13T04:00:00+00:00,0.30889
6670,2022-09-13T04:00:00+00:00,
1727,2022-09-13T03:00:00+00:00,0.06222
6670,2022-09-13T03:00:00+00:00,
1727,2022-09-13T02:00:00+00:00,
6670,2022-09-13T02:00:00+00:00,
1727,2022-09-13T01:00:00+00:00,0.08389
6670,2022-09-13T01:00:00+00:00,
1727,2022-09-13T00:00:00+00:00,0.06778
6670,2022-09-13T00:00:00+00:00,
1727,2022-09-12T23:00:00+00:00,0.19056
6670,2022-09-12T23:00:00+00:00,
1727,2022-09-12T22:00:00+00:00,0.36
6670,2022-09-12T22:00:00+00:00,
6670,2022-09-12T21:00:00+00:00,
1727,2022-09-12T21:00:00+00:00,3.14167
1727,2022-09-12T20:00:00+00:00,18.17444
6670,2022-09-12T20:00:00+00:00,
1727,2022-09-12T19:00:00+00:00,26.34889
6670,2022-09-12T19:00:00+00:00,
6670,2022-09-12T18:00:00+00:00,
1727,2022-09-12T18:00:00+00:00,65.77167
6670,2022-09-12T17:00:00+00:00,
1727,2022-09-12T17:00:00+00:00,19.21556
1727,2022-09-12T16:00:00+00:00,25.11223
6670,2022-09-12T16:00:00+00:00,
1727,2022-09-12T15:00:00+00:00,31.69611
6670,2022-09-12T15:00:00+00:00,
1727,2022-09-12T14:00:00+00:00,1.86
6670,2022-09-12T14:00:00+00:00,
1727,2022-09-12T13:00:00+00:00,16.69889
6670,2022-09-12T13:00:00+00:00,
